Pango_lineage	first_robust_detection	last_robust_detection
B.1.1.7	2020-01-19	2022-05-25
B.1.177	2020-02-02	2021-10-19
B.1.617.2	2020-05-01	2023-07-11
B.1.525	2020-05-30	2021-09-23
BA.2	2020-07-01	2024-03-19
BA.5	2020-07-04	2023-11-29
B.1.160	2020-07-15	2021-12-13
B.1.351	2020-08-18	2022-03-15
AY.122	2020-09-11	2022-09-09
BA.1.1	2020-10-08	2024-03-18
AY.4	2020-10-14	2022-10-18
C.16	2020-10-22	2021-04-17
P.1	2020-10-26	2022-07-23
B.1.1.519	2020-11-10	2021-09-17
A.23.1	2020-11-11	2021-06-24
A.27	2020-11-30	2021-08-23
B.1.526	2020-12-09	2021-09-17
BA.1	2021-01-01	2023-07-26
A.28	2021-01-07	2021-05-11
C.37	2021-01-12	2021-12-17
B.1.1.318	2021-01-25	2021-09-17
Q.1	2021-02-02	2021-07-14
B.1.621	2021-02-26	2022-05-17
AZ.2	2021-03-05	2021-08-05
AT.1	2021-03-12	2021-07-08
B.1.616	2021-03-20	2021-03-20
AV.1	2021-04-27	2021-06-11
AY.4.5	2021-04-30	2022-04-02
AY.4.2	2021-06-09	2022-02-07
C.1.2	2021-06-17	2021-12-03
AY.43.9	2021-09-30	2022-01-11
BA.5.1	2021-11-15	2023-11-14
BA.4	2022-01-06	2023-10-03
XBB.1	2022-01-07	2024-01-11
XBB.1.5	2022-02-13	2024-02-27
BF.7	2022-06-02	2023-06-21
BA.2.75	2022-06-03	2023-03-29
XAK	2022-06-13	2022-08-16
BQ.1	2022-07-10	2023-06-01
CH.1.1	2022-08-01	2023-06-26
XBB	2022-08-02	2024-01-14
BA.2.3.20	2022-08-27	2023-05-05
BN.1	2022-08-27	2023-05-15
XBC	2022-09-13	2022-09-13
XBB.1.9	2022-10-26	2023-12-18
XBB.1.16	2023-01-04	2024-02-08
XBB.1.9.2	2023-01-04	2024-01-12
JN.1	2023-01-04	2024-04-29
FE.1	2023-02-22	2023-10-23
EG.5.1	2023-04-06	2024-02-20
EG.5	2023-04-11	2024-01-10
FL.1.5	2023-05-09	2023-11-16
DV.7.1	2023-06-05	2024-01-06
HK.3	2023-06-24	2024-04-09
BA.2.86	2023-07-28	2024-03-05
EG.10	2023-08-22	2023-10-11
JN.1.1	2023-09-25	2024-04-11
JN.1.4	2023-10-16	2024-04-29
JN.1.4.5	2023-10-27	2024-04-22
JN.1.39	2023-11-12	2024-04-22
JN.1.32	2023-11-27	2024-04-26
JN.1.18	2023-11-29	2024-04-22
JN.1.7	2023-12-04	2024-04-29
JN.1.16	2023-12-06	2024-04-29
JN.1.4.6	2023-12-11	2024-04-29
JN.1.13	2024-01-03	2024-04-14
JN.1.32.1	2024-01-08	2024-04-16
XDK.1	2024-01-18	2024-04-26
JN.1.7.1	2024-02-15	2024-04-22
KP.2	2024-02-16	2024-04-29
JN.1.16.2	2024-02-18	2024-04-24
KP.3	2024-03-04	2024-04-29
KS.1	2024-03-12	2024-04-25
KP.4	2024-04-19	2024-04-19
LA.2	2024-04-26	2024-04-26
